Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172),3.339113419854607e-07,0.0006324280817204625,0,0,63.63789237668161,948.9930904136231,EDNRB;HSP90AB1;TGFB1;LDLR;NFKB1
GO_Biological_Process_2023,Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338),2.9659005761410465e-05,0.02808707845605571,0,0,151.41333333333333,1578.5967640215465,CLDN10;CLDN4;CLDN7
GO_Biological_Process_2023,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),7.306878390759422e-05,0.04332942100237568,0,0,75.7,720.975075156161,DSP;CXADR;JUP
GO_Biological_Process_2023,Positive Regulation Of Protein Import Into Nucleus (GO:0042307),0.00010882724869592589,0.04332942100237568,0,0,12.709641255605382,115.9849935298865,TGFB1;TRIM28;JUP;CDH1;ZC3H12A
GO_Biological_Process_2023,Calcium-Mediated Signaling (GO:0019722),0.00014902779667188296,0.04332942100237568,0,0,6.886094674556213,60.67598115582549,POMC;RCAN1;CXCL8;EDNRB;CCL20;SPHK1;ATP1B1
GO_Biological_Process_2023,Epithelium Development (GO:0060429),0.00015610179805301624,0.04332942100237568,0,0,5.780281690140845,50.664181799559344,EHF;KRT19;TGFB1;SPINT1;PAX8;TST;FOXJ1;MFSD2A
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),0.00016014041553148354,0.04332942100237568,0,0,11.552181002853649,100.95981836370257,SQLE;HMGCS1;INSIG1;CYP51A1;HMGCR
GO_Biological_Process_2023,Epithelial Cell-Cell Adhesion (GO:0090136),0.0002483621270233172,0.05221134117359729,0,0,37.843333333333334,314.1232312270491,DSP;JUP;KIFC3
GO_Biological_Process_2023,Positive Regulation Of Lipid Localization (GO:1905954),0.0002483621270233172,0.05221134117359729,0,0,37.843333333333334,314.1232312270491,C3;ZC3H12A;NFKB1
GO_Biological_Process_2023,Negative Regulation Of Cell-Cell Adhesion (GO:0022408),0.00031612575241960145,0.05221134117359729,0,0,9.771472921697137,78.75192034131862,TGFB1;RGCC;CDH1;EPCAM;SPINT2
GO_Biological_Process_2023,Negative Regulation Of Protein Metabolic Process (GO:0051248),0.00035853833124087223,0.05221134117359729,0,0,4.490224763931374,35.623085830300106,EDNRB;HSP90AB1;DAPK1;EIF4A3;CYP51A1;PFDN2;HMGCR;LDLR;NFKB1
GO_Biological_Process_2023,Positive Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043536),0.0003687200806698938,0.05221134117359729,0,0,9.40873609035044,74.38050715778635,MAP2K3;ANXA1;TGFB1;HSPB1;PTGS2
GO_Biological_Process_2023,Positive Regulation Of Response To Wounding (GO:1903036),0.0004488476463405965,0.05221134117359729,0,0,13.502380952380953,104.08751946476696,GRN;CLDN4;ANXA1;CLDN3
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),0.0004758641500189912,0.05221134117359729,0,0,5.589013009049774,42.75806296865613,GRN;CXCL8;JUP;SPHK1;ZC3H12A;NINJ1;HSPB1
GO_Biological_Process_2023,Regulation Of Protein Import Into Nucleus (GO:0042306),0.0004934512467787062,0.05221134117359729,0,0,8.758311427246019,66.68654075450785,TGFB1;TRIM28;JUP;CDH1;ZC3H12A
GO_Biological_Process_2023,Regulation Of Protein Metabolic Process (GO:0051246),0.0005639807492128189,0.05221134117359729,0,0,5.418689153983272,40.53445241180772,HSP90AB1;EDNRB;TGFB1;PLAUR;EIF4E;LDLR;NFKB1
GO_Biological_Process_2023,Regulation Of Microglial Cell Activation (GO:1903978),0.0005789008261064114,0.05221134117359729,0,0,25.224444444444444,188.0325785349017,GRN;SPHK1;LDLR
GO_Biological_Process_2023,Establishment Of Skin Barrier (GO:0061436),0.0005789008261064114,0.05221134117359729,0,0,25.224444444444444,188.0325785349017,CLDN4;SFN;MET
GO_Biological_Process_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),0.0005789008261064114,0.05221134117359729,0,0,25.224444444444444,188.0325785349017,SCNN1A;ATP1B3;ATP1B1
GO_Biological_Process_2023,Negative Regulation Of Macrophage Activation (GO:0043031),0.0005789008261064114,0.05221134117359729,0,0,25.224444444444444,188.0325785349017,GRN;ZC3H12A;LDLR
GO_Biological_Process_2023,Regulation Of PERK-mediated Unfolded Protein Response (GO:1903897),0.0005789008261064114,0.05221134117359729,0,0,25.224444444444444,188.0325785349017,PPP1R15A;HSPA5;AGR2
GO_Biological_Process_2023,Heterotypic Cell-Cell Adhesion (GO:0034113),0.0006719894031290705,0.057172182308595824,0,0,11.911764705882353,87.01863337120719,DSP;CXADR;JUP;NINJ1
GO_Biological_Process_2023,Granulocyte Chemotaxis (GO:0071621),0.0007368394103644504,0.057172182308595824,0,0,7.935117713004484,57.23711962958678,CXCL8;ANXA1;CXADR;KLF5;CCL20
GO_Biological_Process_2023,Bicellular Tight Junction Assembly (GO:0070830),0.000808742818659953,0.057172182308595824,0,0,11.249007936507937,80.09326938569416,CLDN10;CLDN4;CLDN3;CLDN7
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),0.000808742818659953,0.057172182308595824,0,0,11.249007936507937,80.09326938569416,SCNN1A;ATP1B3;ATP1B1;SGK1
GO_Biological_Process_2023,Skin Epidermis Development (GO:0098773),0.0008150205503337313,0.057172182308595824,0,0,21.61904761904762,153.76109249419926,CLDN4;SFN;MET
GO_Biological_Process_2023,Sodium Ion Homeostasis (GO:0055078),0.0008150205503337313,0.057172182308595824,0,0,21.61904761904762,153.76109249419926,SCNN1A;ATP1B3;ATP1B1
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),0.0008477462688728453,0.057343979758756033,0,0,3.94801545486477,27.92403370661797,TGFB1;CXCL8;ANXA1;ELF3;RIPK2;CCL20;ADM;NFKB1;RELB
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),0.0009640215351623956,0.06007710779479124,0,0,10.656015037593985,73.99959805154351,HMGCS1;INSIG1;CYP51A1;HMGCR
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),0.0010541226350545046,0.06007710779479124,0,0,4.829460682401859,33.106177468521594,GRN;CXCL8;JUP;SPHK1;ZC3H12A;NINJ1;HSPB1
