Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),0.0002138025405297991,0.09524779820313715,0,0,6.367307692307692,53.8066641683979,TGFBR3;CD4;GPNMB;NTRK3;PTEN;FN1;RASGRP1
GO_Biological_Process_2023,Regulation Of Peptidyl-Serine Phosphorylation (GO:0033135),0.00027262805320681446,0.09524779820313715,0,0,9.712585034013605,79.71509113689632,TENM1;NTRK3;PTEN;ATP2B4;CREBL2
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),0.0003196953746572995,0.09524779820313715,0,0,4.164527290992298,33.51670687485686,SEMA5A;TCAF1;PLXND1;GPNMB;F10;IGFBP5;NTRK3;PTEN;SGK3;RECK
GO_Biological_Process_2023,Positive Regulation Of Protein Depolymerization (GO:1901881),0.00046425807280714036,0.09524779820313715,0,0,113.66336633663366,872.3742895412444,SEMA5A;NES
GO_Biological_Process_2023,Axon Development (GO:0061564),0.0005088023408287241,0.09524779820313715,0,0,12.167995746943115,92.27539884911873,SEMA5A;MTR;ANK3;PAK3
GO_Biological_Process_2023,Bone Resorption (GO:0045453),0.0007692741472058971,0.10510749239517794,0,0,75.76897689768977,543.2683494455425,TPP1;ZNF675
GO_Biological_Process_2023,Nervous System Development (GO:0007399),0.0008724344429719649,0.10510749239517794,0,0,4.371574096531652,30.794342988054314,SEMA5A;TENM1;PLXND1;PTEN;FN1;TPP1;MTR;NES
GO_Biological_Process_2023,Leukocyte Aggregation (GO:0070486),0.0011472197791681745,0.10510749239517794,0,0,56.82178217821782,384.706980871315,S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),0.0011497889326693115,0.10510749239517794,0,0,9.624579124579125,65.14085400946693,TENM1;NTRK3;ATP2B4;CREBL2
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),0.0012229251885045422,0.10510749239517794,0,0,5.486791237113402,36.797218075415266,TGFBR3;CD4;GRAP2;FN1;PAK3;RASGRP1
