Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),1.7792921530464535e-05,0.009991994251534273,0,0,30.960224089635854,338.60298765358283,MEF2C;CAV1;CCL2;SULF1
GO_Biological_Process_2023,Vasculogenesis (GO:0001570),2.09256424115901e-05,0.009991994251534273,0,0,29.550802139037433,318.3961590583022,PDGFRB;TGFB1;SOX18;CAV1
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727),0.00024030513291917237,0.04741401168968916,0,0,159.02298850574712,1325.2341447787342,MEF2C;TGFB1
GO_Biological_Process_2023,Cell-Cell Junction Organization (GO:0045216),0.00026513215644316345,0.04741401168968916,0,0,14.423006535947712,118.77752831420176,CDH6;GJC1;TGFB1;GJA4
GO_Biological_Process_2023,Regulation Of Chemotaxis (GO:0050920),0.00026587932347886745,0.04741401168968916,0,0,28.35841313269494,233.45972930515254,PDGFRB;TGFB1;AIF1
GO_Biological_Process_2023,Positive Regulation Of Wnt Signaling Pathway (GO:0030177),0.00031792248139574255,0.04741401168968916,0,0,9.299918831168831,74.89878394943968,SFRP4;ZEB2;TGFB1;CAV1;SULF1
GO_Biological_Process_2023,Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090092),0.0004634084723315586,0.04741401168968916,0,0,22.95016611295681,176.18616840226676,SFRP4;TGFB1;DKK3
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),0.0005094071537150894,0.04741401168968916,0,0,8.344873663751216,63.27302642064529,PDGFRB;TGFB1;NKG7;NLRP1;AIF1
GO_Biological_Process_2023,Chondrocyte Differentiation (GO:0002062),0.0005898161880283145,0.04741401168968916,0,0,20.951466127401417,155.78880862390199,MEF2C;TGFB1;SULF1
GO_Biological_Process_2023,Negative Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043537),0.0005898161880283145,0.04741401168968916,0,0,20.951466127401417,155.78880862390199,MEF2C;ANGPT2;TGFB1
GO_Biological_Process_2023,cGMP-mediated Signaling (GO:0019934),0.0005957781573573507,0.04741401168968916,0,0,79.5,590.3385532614066,GUCY1A2;AQP1
GO_Biological_Process_2023,Positive Regulation Of Cardiocyte Differentiation (GO:1905209),0.0005957781573573507,0.04741401168968916,0,0,79.5,590.3385532614066,MEF2C;TGFB1
