Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),8.145020663065167e-08,0.000195480495913564,0,0,8.16728376015633,133.3168103669253,TMOD1;DTNA;ROCK2;PGAM2;TTN;CKMT2;DES;SLMAP;CASQ2;SSPN;MYH11;APBB1;SNTB1
GO_Biological_Process_2023,Muscle Organ Development (GO:0007517),5.686843139351639e-07,0.0006824211767221967,0,0,8.505692599620494,122.3113523483977,SGCE;TAGLN;SGCD;CTF1;DES;FHL1;SPEG;DMD;ITGB1BP2;MKX;BVES
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),3.258127108498542e-06,0.0026065016867988333,0,0,6.8810547875064,86.93770983880655,TMOD1;CSRP1;ROCK2;MYO18A;PGM5;MYH11;FLNC;SORBS1;MYOZ1;MYH10;TTN
GO_Biological_Process_2023,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),6.200633185025415e-06,0.003597290227596069,0,0,3.2702483203307655,39.21308697665922,FOXC2;NTRK2;ANGPT1;SORT1;SORBS1;CD3E;FGF1;MTSS1;EGFR;SIPA1L1;ERBB4;PDGFC;KDR;COL4A6;PHIP;ROR1;PLCB1;EPHB1;EPHA3;ANGPTL1;ANKS1B;FGFR1
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),7.494354640825144e-06,0.003597290227596069,0,0,3.5989527977492966,42.47253951616374,NTRK2;ANGPT1;SYNJ2BP;FGF1;NPNT;EGFR;TGFBR3;RPS6KA6;RAP1A;GPNMB;ERBB4;CCL5;PDGFC;KDR;TIMP3;TNFAIP8L3;ROR1;EPHB1;CD44
GO_Biological_Process_2023,Cellular Response To Organic Cyclic Compound (GO:0071407),1.5626997972083064e-05,0.0062507991888332256,0,0,4.122491865509762,45.62159951707827,EGR1;GABRB2;IGFBP5;ROCK2;NCOA4;AKAP6;ATP1A2;CLU;EGFR;AQP1;ZFP36L1;ADCY5;RAP1A;CCL5;DRD1
GO_Biological_Process_2023,Response To Fibroblast Growth Factor (GO:0071774),2.3005242657879925e-05,0.007372754054042709,0,0,14.21431334622824,151.80585916374437,ZFP36;CCL5;NDNF;ZFP36L2;CD44;ZFP36L1
GO_Biological_Process_2023,Positive Regulation Of Potassium Ion Transport (GO:0043268),2.737886350476845e-05,0.007372754054042709,0,0,21.679051663128096,227.75446389921908,KCNH2;FHL1;AKAP6;ANK2;DRD1
GO_Biological_Process_2023,Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344),2.7647827702660156e-05,0.007372754054042709,0,0,8.042735042735043,84.41625262177472,ZFP36;CCL5;NDNF;FGF1;CD44;ZFP36L2;ZFP36L1;FGFR1
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),3.1241498649999155e-05,0.007497959675999797,0,0,4.097306397306397,42.50448657750336,NTRK2;ANGPT1;FGF1;NPNT;EGFR;RAP1A;GPNMB;ERBB4;CCL5;PDGFC;KDR;ROR1;TNFAIP8L3;CD44
GO_Biological_Process_2023,Striated Muscle Contraction (GO:0006941),5.8294999368925004e-05,0.012087226272663051,0,0,8.697938877043354,84.8048539719595,KCNH2;DTNA;PGAM2;CASQ2;ATP1A2;DMD;TTN
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),6.494529297697824e-05,0.012087226272663051,0,0,2.110692856334201,20.351227256430082,KANK2;BTG2;CDKN1A;CTF1;BTG1;PTN;FGF1;CLU;RERG;EGFR;ZFP36L1;CCND2;HMGN5;GPNMB;ERBB4;PDGFC;KDR;ZNF503;SPEG;IGFBP6;ZBTB7C;NTRK2;OSR2;MYOCD;CDKN2C;RBFOX2;CNOT6L;TSC22D1;MAGI2;LDOC1;LIFR;SMARCA2;PIAS1;FABP3;IRF1;CDH13;PHIP;FGFR1
GO_Biological_Process_2023,Regulation Of Potassium Ion Transport (GO:0043266),6.547247564359153e-05,0.012087226272663051,0,0,11.16565349544073,107.56857396743317,KCNH2;FHL1;CASQ2;ANK2;KCNAB1;DRD1
GO_Biological_Process_2023,Cellular Response To Metal Ion (GO:0071248),8.002991679323326e-05,0.013719414307411415,0,0,4.258504193849022,40.17093863776454,ITPKB;PRNP;CLIC4;MT1A;PRKAA2;SYT1;RASA4;LRRK2;SLC41A1;CLU;EGFR;AQP1
GO_Biological_Process_2023,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),0.00011277995905309723,0.018044793448495557,0,0,4.437849462365591,40.340370706058216,NTRK2;ERBB4;KDR;LIFR;ROR1;PTN;CD3E;MTSS1;ANGPTL1;EGFR;FGFR1
GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),0.00015359600522627274,0.020778152559887544,0,0,3.1473069435431538,27.637083721198735,TSPYL2;GALNT11;PRNP;IGFBP5;LRRK2;CD3E;SYNJ2BP;CLU;RGS2;PHIP;NCAM1;KCTD12;IGFBP6;PLCB1;ZMYND11;RGS6
GO_Biological_Process_2023,Heart Contraction (GO:0060047),0.00015498208278567064,0.020778152559887544,0,0,9.19299123904881,80.64276733232792,KCNH2;SGCD;CASQ2;ATP1A2;DMD;TTN
GO_Biological_Process_2023,Positive Regulation Of Neuron Projection Development (GO:0010976),0.00015583614419915657,0.020778152559887544,0,0,4.676195585530349,40.99482937368266,NTRK2;TUBB2B;RAP1A;DPYSL3;MAGI2;ROR1;NDNF;VLDLR;PTN;EPHA3
GO_Biological_Process_2023,Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991),0.000178881234111463,0.02146574809337556,0,0,7.022388059701493,60.59470111382527,KANK2;CDKN1A;GPNMB;FHL1;JADE1;ZFP36L2;ZFP36L1
GO_Biological_Process_2023,Regulation Of Cation Channel Activity (GO:2001257),0.000178881234111463,0.02146574809337556,0,0,7.022388059701493,60.59470111382527,KCNG1;JPH4;AHNAK;SLMAP;ANK2;KCNAB1;DMD
GO_Biological_Process_2023,Metal Ion Transport (GO:0030001),0.00020185385494338965,0.023069011993530248,0,0,4.119170506912442,35.04576514519124,KCNG1;KCNMB1;CCL5;KCNMA1;ITPR1;SLC41A1;KCNAB1;ATP1A2;CLU;SCN3A;AQP1
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),0.00022540913973101559,0.024590087970656246,0,0,2.811555256970104,23.610297892837345,NTRK2;ANGPT1;ROCK2;LRRK2;FGF1;NPNT;EGFR;RAP1A;GPNMB;ERBB4;CCL5;PDGFC;KDR;TNFAIP8L3;ROR1;IGFBP6;CD44;FGFR1
GO_Biological_Process_2023,Muscle Tissue Development (GO:0060537),0.0002551507021123455,0.024617717644270107,0,0,8.223964165733483,68.04225209766652,SVIL;CSRP1;DMD;PGM5;MYOZ1;BVES
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),0.0002551507021123455,0.024617717644270107,0,0,8.223964165733483,68.04225209766652,TMOD1;CSRP1;PGM5;FLNC;MYOZ1;TTN
GO_Biological_Process_2023,Response To Calcium Ion (GO:0051592),0.0002564345587944803,0.024617717644270107,0,0,4.363018597997139,36.07621726113422,ITPKB;CLIC4;PRKAA2;SYT1;RASA4;KCNMB1;KCNMA1;CASQ2;CLU;TTN
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),0.00031116589199569304,0.02872300541498705,0,0,2.3900965242609185,19.300470103206337,KANK2;BTG2;CDKN1A;MYOCD;BTG1;CDKN2C;IGFBP5;MAGI2;LDOC1;SMARCA2;MTSS1;RERG;TGFBR3;FABP3;GPNMB;ERBB4;IRF1;OGN;SPEG;CDH13;ZNF503;IGFBP6;ZBTB7C
GO_Biological_Process_2023,Negative Regulation Of calcineurin-NFAT Signaling Cascade (GO:0070885),0.00033817467920930735,0.028986401075083483,0,0,17.306497175141242,138.3126253748237,PRNP;DYRK2;ATP2B4;MYOZ1
