celltype,mean_CTR,mean_RIF,log2FC_RIF_vs_CTR,pvalue,padj
Decidualized_stromal,0.2696462493700802,0.18365562382655365,-0.5540623874427042,0.02857142857142857,0.06666666666666667
Glandular_epithelium,0.02227404767879815,0.13687597085015918,2.619379312902585,0.02857142857142857,0.06666666666666667
NKT_cells,0.06846608003573199,0.028148884296973018,-1.2822814936181222,0.02857142857142857,0.06666666666666667
Macrophages,0.0401690117739638,0.021809046327845277,-0.8811260497572184,0.02857142857142857,0.06666666666666667
Smooth_muscle,0.10709707116171692,0.051923573918862376,-1.0444431195505213,0.02857142857142857,0.06666666666666667
Pericyte,0.07537672207724877,0.15260034661645133,1.017557590780794,0.02857142857142857,0.06666666666666667
Lymphatic_endothelium,0.07439109891065865,0.047030502024965136,-0.6615219950150447,0.05714285714285714,0.11428571428571428
Basalis_fibroblast,0.12549669128253307,0.09890106571943338,-0.3435882646075138,0.11428571428571428,0.17777777777777776
CD133+_progenitor,0.03164855690172523,0.057696555406582875,0.8663248926168254,0.11428571428571428,0.17777777777777776
SOX9+LGR5+_stem,0.033037293526832386,0.025189071824481556,-0.39128393586835897,0.2,0.28
Secretory_glandular,0.04577126859100333,0.08832304190125896,0.9483323971297157,0.34285714285714286,0.4363636363636364
B_cells,0.02817917052364497,0.025486938961529017,-0.14486562468333275,0.4857142857142857,0.5230769230769231
Erythrocytes,0.03325082980545879,0.029472687839078505,-0.17400614622571353,0.4857142857142857,0.5230769230769231
Lymphoid_immune,0.04519590832786318,0.05288668986436181,0.22670787062378941,0.8857142857142857,0.8857142857142857
