TF,diff_AS_vs_Control,pvalue,padj
STAT2,1.445520646471864,1.0783314083448506e-48,8.195318703420864e-46
HDAC1,-1.4262521727407234,2.3793550575948817e-43,9.041549218860551e-41
GATA4,1.0766505913803976,4.29617530185961e-43,1.0883644098044344e-40
NKX6-1,-0.25053821748813043,8.848418394921827e-41,1.3449595960281177e-38
NCOR2,0.9605921300744056,7.241918978055245e-41,1.3449595960281177e-38
MLXIPL,0.8927910075225308,1.3702828831997955e-39,1.7356916520530742e-37
NFIC,1.2511191651810867,2.480860525804492e-39,2.6935057137305915e-37
NFATC4,0.9463745439410499,4.100601577234241e-39,3.895571498372529e-37
ESR1,1.194930553585313,1.0985146488431192e-37,9.276345923564118e-36
GATA3,0.7340480960694238,1.897705182116317e-37,1.4422559384084008e-35
NR5A1,0.77051325911234,1.0580994281577638e-36,7.310505139999095e-35
MYOD1,0.8596511822030051,2.0863172189690286e-34,1.3213342386803848e-32
NR2F1,0.7323938233737146,3.093876895735745e-34,1.8087280313532046e-32
PGR,0.9091279796843683,3.5436400266820984e-34,1.9236903001988537e-32
ELF4,-0.9193599652671534,5.700940870736126e-34,2.888476707839637e-32
DOT1L,1.233968434571421,6.4190272556907365e-34,3.0490379464531e-32
ARID1A,1.0440789763048894,6.972543336619186e-34,3.117137021076813e-32
NOTCH1,1.0829834384699168,3.897801947422152e-33,1.6457386000226863e-31
TWIST1,1.0793535623537869,3.328521184748819e-32,1.3314084738995276e-30
BARX1,1.1945956616903137,4.5674077857842505e-32,1.7356149585980154e-30
TFAP2A,0.9054989962889066,9.649924127894097e-32,3.492353493904531e-30
ZNF300,-0.8630499450255218,1.6822176816789345e-31,5.811297445799955e-30
HOXA11,1.5476402145469956,3.3658239898782283e-31,1.1121853183945449e-29
NR4A1,0.7057122901855282,2.4232069136949276e-30,7.673488560033938e-29
DAXX,-0.9282332656005765,2.640442240242338e-30,8.026944410336707e-29
HTATIP2,0.980620207024066,3.8479248153206665e-30,1.1247780229398871e-28
HOXB1,-0.8289732477764189,6.2602317295435126e-30,1.762139301649285e-28
KMT2A,0.9127719507813974,8.083173165213942e-30,2.1940041448437844e-28
ARX,0.8995927849071217,8.467184805454309e-30,2.2189863628087153e-28
NR1I3,0.6003403611547281,1.349072129817135e-29,3.417649395536742e-28
ZNF217,-0.0795010660856848,3.495800337490046e-29,8.570349214491725e-28
STAT5A,0.8709750567764212,3.8415757089668756e-29,9.12374230879633e-28
ZNF354C,0.8982159808509527,4.3744389395513176e-29,1.0074465436542428e-27
STAT5B,0.9368572938464772,8.508056541865408e-29,1.9018008740640322e-27
TCF4,0.8791562745617487,4.0707921049935815e-28,8.83943428512892e-27
LMX1B,1.310202904027399,6.573872724236849e-28,1.3878175751166681e-26
MEF2C,0.7260936708191255,1.5290538714825184e-27,3.1407593035857134e-26
IRF4,0.650927770769747,1.7561475061895795e-27,3.5122950123791585e-26
ZIC1,1.322184310875298,1.8179619729373427e-27,3.5426951267496934e-26
NEUROD1,0.9083381306428979,1.3954338496222012e-26,2.6513243142821824e-25
NCOA1,0.685863254930514,1.5414686459177956e-26,2.8573565143842064e-25
SHOX2,-0.11878572296834067,2.927046421388785e-26,5.261509299880973e-25
SPIC,-0.23449960454399799,2.9769065775642344e-26,5.261509299880973e-25
ESR2,0.8042149620854508,3.6538823962867865e-26,6.311251411768086e-25
MEF2D,1.2183241269710563,4.181155200275098e-26,7.06150656046461e-25
SIN3A,-0.9676074829884376,7.858028994717609e-26,1.2982830513011702e-24
FOXN1,0.6590681862173813,8.402282134375114e-26,1.3586668983244865e-24
SOX4,0.746656960786933,1.0669082596957763e-25,1.689271411184979e-24
SCX,1.091522752825889,1.1005147100599223e-25,1.706920774786818e-24
CUX1,0.8711912356872646,2.9416228616180576e-25,4.471266749659448e-24
TFAP2D,-0.10286888534793492,5.691721740742446e-25,8.481781417576979e-24
MYF5,0.7254746473173816,8.661614329373644e-25,1.2659282481392247e-23
MYB,0.8162311432441909,3.9617629574839124e-24,5.681018580542969e-23
NR1D2,0.18905335000132717,4.677440462967716e-24,6.583064355287896e-23
TRIM28,0.8234394672437814,7.782560137096517e-24,1.0754083098533368e-22
FOXO1,-0.7176723691171988,9.402902697930946e-24,1.2537203597241262e-22
