TF,diff_AS_vs_Control,pvalue,padj
GRHL2,-3.083935142941935,5.2741995745202176e-58,4.008391676635365e-55
HOXB9,-2.027654073060665,3.183638987472733e-53,1.2097828152396386e-50
NFE2L2,-2.1601310954042066,7.993932723409717e-50,2.025129623263795e-47
RBPJ,-1.4130216813696173,1.7033725160305279e-44,3.236407780458003e-42
ZEB2,1.3272128374121046,3.050061168380796e-39,4.6360929759388105e-37
TFAP4,-1.5794583708651826,2.2886410070282716e-38,2.8989452755691438e-36
AHR,-1.6391958698319387,4.6880932408140236e-38,5.089929804312369e-36
KLF15,-0.9338860654449935,6.152611723880894e-37,5.84498113768685e-35
HDAC1,1.8094419134999193,3.51214105871928e-36,2.965808005140725e-34
JUNB,-2.468329412037158,4.27531449562487e-36,3.2492390166749013e-34
JUN,-2.939333157040786,8.73767206259165e-36,6.036937061426958e-34
PPARG,-1.3548776893123522,4.752180695972772e-35,3.0097144407827555e-33
VDR,-1.34662796614209,9.228394309729428e-35,5.395061288764896e-33
LHX2,-1.3617558640212868,3.6883220032272146e-34,2.0022319446090597e-32
YAP1,-1.1664136947628274,4.200321265614292e-34,2.1281627745779084e-32
EGR1,-2.00059060700884,5.304232735338489e-34,2.5195105492857824e-32
NR2C2,-1.3545238735949758,1.7261991401439786e-33,7.717125567702492e-32
CREB1,-2.2285484633134027,2.0200369291279062e-33,8.529044811873382e-32
PPARD,-1.3174406622919665,3.670785624756272e-33,1.4683142499025088e-31
ASCL1,-1.0664314863206492,7.01240085853693e-33,2.6647123262440333e-31
HIF1A,-2.0491090118499242,1.4424393986403765e-32,5.220256871269934e-31
SP1,-2.791834295934245,2.013656689546363e-32,6.956268563887436e-31
FOSL2_JUNB,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOS_JUNB,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSL1_JUN,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSL1_JUNB,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSL1_JUND,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSL2_JUN,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
JUNB_JUND,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSB_JUNB,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
JUN_JUNB,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
JUN_JUND,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSB_JUND,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSB_JUN,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOSL2_JUND,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOS_JUN,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
FOS_JUND,-2.27990964250093,4.4329332500567915e-32,9.105484513630167e-31
JUND,-2.297077409198342,5.072482811804943e-32,1.0144965623609887e-30
MXI1,-1.315907832777389,1.1239984897995913e-31,2.1903560314043318e-30
ATF7,-1.266452310103155,3.4866477225549454e-31,6.624630672854397e-30
IRF3,-1.183958451098965,7.883226231536318e-31,1.461280959992098e-29
KLF6,-2.102532184018417,9.408539052985255e-31,1.7024975429211416e-29
IRF6,-1.335173577347332,1.0594224744987733e-30,1.8724676293466688e-29
PARK7,-1.4580548414136358,1.1275675601241945e-30,1.9476166947599722e-29
NFKB1,-2.6269532646756724,1.2307522038829115e-30,2.0786037221133616e-29
TP53,-2.1056694777253444,1.5439617849708232e-30,2.550893383864838e-29
TFAP2C,1.0170019069697884,1.677566988368742e-30,2.712661513106902e-29
CREB3,-1.7487003189179389,4.565868415088966e-30,7.229291657224197e-29
ID3,-1.0853711662715038,6.292001792069999e-30,9.759023187700406e-29
ATF4,-1.8261489109253954,1.1806995642475254e-29,1.7946633376562386e-28
E2F2,-0.9750513957886102,1.7051636876143338e-29,2.541028240366458e-28
NFKB1_RELA,-2.4900524190236433,2.521522287585376e-29,3.09089828800788e-28
REL_RELB,-2.4900524190236433,2.521522287585376e-29,3.09089828800788e-28
RELA,-2.597344147340518,2.2619392113390082e-29,3.09089828800788e-28
