TF,diff_AS_vs_Control,pvalue,padj
HOPX,-0.4087782177759107,0.0,0.0
HOXD3,0.5523164579048836,0.0,0.0
HR,0.20664422945888988,0.0,0.0
HSF4,-0.4270412614926773,0.0,0.0
HTATIP2,0.9044509372898211,0.0,0.0
ID1,0.4292783914483504,0.0,0.0
PA2G4,-0.4617110562661474,0.0,0.0
POU3F1,-0.17794786015870828,0.0,0.0
POU3F2,0.5997891329654537,0.0,0.0
POU5F1,0.5631925086038523,0.0,0.0
PPARG,-0.6643596988958138,0.0,0.0
HOXD13,0.4112944625366368,0.0,0.0
HOXA1,0.46977396195191146,0.0,0.0
HOXA5,0.7787304263186823,0.0,0.0
HOXA9,0.6921187819082237,0.0,0.0
HOXB1,-0.6471508012667215,0.0,0.0
HOXB13,-0.6468560745048291,0.0,0.0
HOXB4,0.33612607487018553,0.0,0.0
HOXB5,-0.14027793273001182,0.0,0.0
HOXB7,0.7367426094655487,0.0,0.0
PROP1,0.18761065619640774,0.0,0.0
RARA,0.3110585597176967,0.0,0.0
NR4A1,0.3831006811386386,0.0,0.0
PAX2,0.5298973324119302,0.0,0.0
PAX5,-0.5896994412490035,0.0,0.0
PAX6,0.5626099801576152,0.0,0.0
PAX9,0.5361433287410973,0.0,0.0
PBRM1,0.48001956288619096,0.0,0.0
ID2,-0.34752318875204247,0.0,0.0
ID3,-0.40877882696267187,0.0,0.0
IRF4,0.5254570364630846,0.0,0.0
IRF6,-0.5046970499860184,0.0,0.0
IRF8,0.6586977537089144,0.0,0.0
RARB,-0.38649618104691896,0.0,0.0
NR5A1,0.46884975037847354,0.0,0.0
PIN1,1.3114681914001947,0.0,0.0
PITX1,-0.44095503816886406,0.0,0.0
PLAG1,0.7599932372709199,0.0,0.0
PLAGL1,0.5614697394555734,0.0,0.0
HOXB9,-0.42351633618399565,0.0,0.0
HOXC13,-0.23066729999953117,0.0,0.0
HOXD1,0.3563124114486592,0.0,0.0
HOXD10,0.37831329458456775,0.0,0.0
GFI1B,0.29632822393504016,0.0,0.0
PRDM4,0.3609670133231405,0.0,0.0
RXRB,-0.4241001168841758,0.0,0.0
ZNF410,0.3062037693999282,0.0,0.0
SATB2,0.5783545520691087,0.0,0.0
SCX,0.843905771806063,0.0,0.0
SETBP1,0.5298613008608278,0.0,0.0
SFPQ,0.46307676991599456,0.0,0.0
SHOX2,-0.041862036253821844,0.0,0.0
GCM1,0.7190358605817457,0.0,0.0
GFI1,0.5641341947820999,0.0,0.0
PRDM2,-0.8648139461726005,0.0,0.0
GLI1,0.510649461992756,0.0,0.0
GLI2,0.48066139046452094,0.0,0.0
GLI3,0.6849508568747499,0.0,0.0
GLIS3,-0.11053209457258706,0.0,0.0
GRHL2,-1.1940292694706547,0.0,0.0
GTF2I,0.7119476857342821,0.0,0.0
SIX3,-0.08052595151952802,0.0,0.0
SIX4,-0.5510539908853431,0.0,0.0
SMAD3,1.2942035694996479,0.0,0.0
SMAD6,0.33155636980704234,0.0,0.0
RORA,0.26451168672494396,0.0,0.0
RARG,0.2838081189283459,0.0,0.0
HIF1A,0.3848351300539763,0.0,0.0
HIF3A,0.3138698356627815,0.0,0.0
HIVEP1,0.5547275098257675,0.0,0.0
HMGA1,0.6898123910845966,0.0,0.0
HNF1B,0.21689587450326367,0.0,0.0
HNF4A,0.34179307555026783,0.0,0.0
POU2F2,-0.33266535190883684,0.0,0.0
HBP1,0.3966399846430164,0.0,0.0
REST,-0.23800613558854256,0.0,0.0
PARK7,-0.6920111193070586,0.0,0.0
HCFC1,-0.1954417418797102,0.0,0.0
HDAC1,-0.7614850175109864,0.0,0.0
HDAC7,-0.33756613337089925,0.0,0.0
HESX1,0.3952084682176923,0.0,0.0
HEY1,0.7114363412610636,0.0,0.0
HEY2,0.2487178520154381,0.0,0.0
HEYL,-0.2737906735540949,0.0,0.0
PRDM1,-0.3708192400026322,0.0,0.0
PRDM16,0.3400407944482213,0.0,0.0
MKX,0.33455799328911445,0.0,0.0
ZMYND8,-0.3796857676479162,0.0,0.0
ZNF148,0.7824164741020492,0.0,0.0
MBD2,0.4818942310545171,0.0,0.0
MECOM,0.47161340055701384,0.0,0.0
MEF2B,0.3610928743880919,0.0,0.0
MEF2C,0.31990351619509894,0.0,0.0
MEF2D,0.6058698185087734,0.0,0.0
MEIS1,0.2790911019078064,0.0,0.0
MEIS2,-0.27166924484762944,0.0,0.0
MITF,0.2907094790309366,0.0,0.0
ZIC2,-0.5738706600706864,0.0,0.0
MLXIPL,0.5573993129665575,0.0,0.0
MNT,0.3029513016457037,0.0,0.0
MSC,-0.23929817179620838,0.0,0.0
MYOD1,0.5840951295223447,0.0,0.0
MYRF,0.6056203506159397,0.0,0.0
NAB2,-0.476808298447847,0.0,0.0
NFATC1,0.836988847793692,0.0,0.0
NFATC4,0.8035367317630919,0.0,0.0
NFE2L2,-0.5123401537352881,0.0,0.0
NFIA,-0.6898230566161696,0.0,0.0
TWIST1,1.1719172690303292,0.0,0.0
ZNF384,0.3788878209861175,0.0,0.0
ZNF354C,0.9577867383077672,0.0,0.0
ZNF350,0.553211617775395,0.0,0.0
ZNF300,-0.6959635257794565,0.0,0.0
ARX,0.7495383365935844,0.0,0.0
ARNT,0.29823759517294046,0.0,0.0
ARID4B,-0.6788780544508852,0.0,0.0
ARID1A,0.9187938089513014,0.0,0.0
AR,0.45150379019099063,0.0,0.0
AIP,-0.6700125974447062,0.0,0.0
NFIC,0.8230200239026066,0.0,0.0
ABL1,0.6602987991654254,0.0,0.0
ZXDC,0.3511325367028423,0.0,0.0
ASCL2,0.40696484494011353,0.0,0.0
ATF2,0.7291788603328055,0.0,0.0
ATF5,0.5642614044475018,0.0,0.0
ATF7,-0.28808472743965374,0.0,0.0
BATF,0.3376910581271101,0.0,0.0
ZFP42,0.5655561496279207,0.0,0.0
ZGPAT,-0.27099194876120514,0.0,0.0
NKX6-1,-0.14535646263237179,0.0,0.0
NR2F2,0.738986587285021,0.0,0.0
KDM2A,0.28878050247939574,0.0,0.0
KDM5A,-0.6681963385727632,0.0,0.0
KLF1,0.3916582154873983,0.0,0.0
KLF10,0.25608592599240565,0.0,0.0
KLF12,-0.155741128835825,0.0,0.0
KLF15,-0.4518167940011475,0.0,0.0
KLF3,-0.12422531249382573,0.0,0.0
NKX2-2,0.17935475030727932,0.0,0.0
NKX3-2,0.24969193773416606,0.0,0.0
NR2F1,0.4173906682848809,0.0,0.0
NRL,0.17698136102670925,0.0,0.0
ONECUT1,0.4469043614781377,0.0,0.0
OTX2,0.3648516777586829,0.0,0.0
JARID2,-0.22621959971846786,0.0,0.0
JUND,0.4275197163588462,0.0,0.0
KAT5,0.5221774093564409,0.0,0.0
KAT6B,0.3161255099688732,0.0,0.0
KAT7,0.3661882072039573,0.0,0.0
NR0B2,-0.2155321022253054,0.0,0.0
KMT2B,-0.24997537476589796,0.0,0.0
LMX1B,1.0185784476207065,0.0,0.0
LRRFIP1,-0.19050264531914182,0.0,0.0
MAFB,0.31398663237694197,0.0,0.0
MAFK,-0.3235921241507932,0.0,0.0
MAML1,0.714550698276049,0.0,0.0
MAZ,0.4134500924572245,0.0,0.0
NOTCH1,0.7891334135896737,0.0,0.0
NR0B1,0.3717309226878356,0.0,0.0
KLF5,0.31409136785270775,0.0,0.0
KMT2A,0.3485371396677266,0.0,0.0
SALL3,-0.38786905629261337,0.0,0.0
LHX1,-0.16964554749041194,0.0,0.0
LHX2,-0.49825598759470086,0.0,0.0
NFKBIB,-0.2924246553622692,0.0,0.0
NFYA,0.3925064159261593,0.0,0.0
NFYB,0.4708587181671433,0.0,0.0
NFYC,0.8645723705122985,0.0,0.0
NEUROG3,-0.22263903931638218,0.0,0.0
NR1I2,0.2892965545929844,0.0,0.0
NR1I3,0.5913224109713987,0.0,0.0
TBX5,0.23496023018299428,0.0,0.0
TFAP2D,-0.08269027933509743,0.0,0.0
TFCP2,0.41054884191123975,0.0,0.0
TFDP1,0.2663204947069834,0.0,0.0
DLX4,0.4181533176889223,0.0,0.0
DNMT1,0.2765414007011897,0.0,0.0
DNMT3A,-0.4429360828850435,0.0,0.0
DOT1L,0.7886750465567032,0.0,0.0
E2F5,-0.6438199575731398,0.0,0.0
TBX2,0.6303048383358737,0.0,0.0
TBX21,0.3312788022046307,0.0,0.0
TFAP2C,0.46292327010891665,0.0,0.0
TFE3,0.2928051136510579,0.0,0.0
TFEB,-0.2195027710158316,0.0,0.0
TGIF1,-0.2808311463976022,0.0,0.0
TRERF1,0.3827323975107402,0.0,0.0
CTBP1,0.2647383727979289,0.0,0.0
CTBP2,0.3423492357918224,0.0,0.0
CTCFL,0.5464363921977303,0.0,0.0
CTNNB1,0.3026418203294545,0.0,0.0
CUX1,0.6909566242314531,0.0,0.0
ELF5,-0.25596263092896876,0.0,0.0
ETS1,0.5079266271711287,0.0,0.0
ETS2,0.8949189673061415,0.0,0.0
SOX9,0.49543650531213834,0.0,0.0
SP2,0.35361605510441607,0.0,0.0
SP3,0.8263007616473894,0.0,0.0
TBXT,-0.7455733306951157,0.0,0.0
TCF15,-0.16400441545055738,0.0,0.0
EBF3,0.6231890149309185,0.0,0.0
ELF4,-0.5060804555193017,0.0,0.0
DAXX,-0.40507249983008103,0.0,0.0
ELK3,-0.5199727452195007,0.0,0.0
ELK4,1.087319712974276,0.0,0.0
STAT1,0.8909158691122911,0.0,0.0
STAT2,1.1172867004650735,0.0,0.0
SMAD7,-0.5137483181186537,0.0,0.0
STAT5A,0.9098525732628162,0.0,0.0
STAT5B,0.7775994281745966,0.0,0.0
TET1,0.49162514114104455,0.0,0.0
TFAP2A,0.5009829608455085,0.0,0.0
ZBED1,-0.4239596087083388,0.0,0.0
NEUROD6,-0.37162623962523833,0.0,0.0
MSX2,0.4572398454670006,0.0,0.0
MTF2,-0.16474179785432289,0.0,0.0
MXI1,-0.4377237066557217,0.0,0.0
MYB,0.8176444807683527,0.0,0.0
MYC,-1.8840928201255895,0.0,0.0
MYCN,0.3691923304231224,0.0,0.0
MYF5,0.46015236826223044,0.0,0.0
MYOCD,-0.77036696002639,0.0,0.0
YBX1,0.2758596397015472,0.0,0.0
NEUROD1,0.4346870993901413,0.0,0.0
ZBTB14,-0.3589272208120562,0.0,0.0
ZBTB16,0.29379734109058697,0.0,0.0
ZBTB4,-1.4257989140293112,0.0,0.0
ZBTB7A,0.30800195414399373,0.0,0.0
ZBTB7B,0.6900293377593636,0.0,0.0
ZEB2,0.6728742947149849,0.0,0.0
BCL11A,0.29851855272619243,0.0,0.0
BRCA1,0.5342950088451328,0.0,0.0
TSC22D1,0.9948399734037019,0.0,0.0
CEBPZ,0.2707085045195916,0.0,0.0
TWIST2,0.7090352183990731,0.0,0.0
UBTF,0.5012977750803312,0.0,0.0
USF2,0.5429883977977106,0.0,0.0
VHL,0.7365855349540686,0.0,0.0
VSX2,0.28723693409518825,0.0,0.0
WWTR1,-0.25660126837260955,0.0,0.0
XBP1,0.4702488219393852,0.0,0.0
CEBPB,0.5988276901312557,0.0,0.0
CEBPG,0.6163330688573239,0.0,0.0
STAT3,0.5761484096358891,0.0,0.0
CIITA,-0.38472468773456125,0.0,0.0
CREB3,-0.3688537501236462,0.0,0.0
CREBBP,0.46799647890015517,0.0,0.0
NCOA1,0.37686192033906685,0.0,0.0
NCOA2,0.31193794775780137,0.0,0.0
NCOA3,0.6332773603131805,0.0,0.0
NCOA6,0.38889881830768225,0.0,0.0
NCOR1,0.5694902315605246,0.0,0.0
NCOR2,1.002346054405916,0.0,0.0
SPI1,0.38943878598518467,0.0,0.0
FOXC1,0.44540382529391054,0.0,0.0
FEV,-0.16276421782616235,0.0,0.0
FOXC2,0.26638763482368794,0.0,0.0
FOXD3,-0.2627568493942217,0.0,0.0
FOXE1,-0.45927747806635855,0.0,0.0
ETV6,0.4736064470061983,0.0,0.0
FOXL2,-0.3271179282645911,0.0,0.0
SSRP1,0.5246483089685336,0.0,0.0
SRY,0.566284560956672,0.0,0.0
SRSF2,0.7194337831787259,0.0,0.0
SREBF2,-0.2793894679270691,0.0,0.0
FOXM1,0.5254845617506023,0.0,0.0
SPIC,-0.1314295142978973,0.0,0.0
FOXN1,0.5453339514219401,0.0,0.0
FEZF2,0.9576846803909548,0.0,0.0
SP7,0.24080024660190658,0.0,0.0
SIN3A,-1.4600994980865805,0.0,0.0
SP4,0.5963463375701652,0.0,0.0
SIRT1,-0.6436243539426054,0.0,0.0
SIX1,0.5613299425448903,0.0,0.0
SOX17,-0.5946367263291101,0.0,0.0
SOX18,-0.09230444252536785,0.0,0.0
SOX2,0.26720357368242603,0.0,0.0
SOX3,-0.05319726896680899,0.0,0.0
SOX4,0.3381519158167947,0.0,0.0
SOX5,0.3513973210191097,0.0,0.0
SOX7,-0.05154147907581297,0.0,0.0
FOSL1,0.711272407545805,0.0,0.0
TBP,-0.5066129835359323,0.0,0.0
ESRRG,0.25920359829280143,0.0,0.0
ESR2,0.3135359687995676,0.0,0.0
ESR1,0.8237842025702227,0.0,0.0
ERG,0.6293319004575422,0.0,0.0
SMAD9,-0.5265230777654311,0.0,0.0
EP300,0.44788342030359596,0.0,0.0
EOMES,-0.26060495209683054,0.0,0.0
FOXO3,0.9999482835681635,0.0,0.0
FOXP1,0.2800564239766128,0.0,0.0
SMARCA5,0.47467488705650673,0.0,0.0
GABPA,-0.3348947528938986,0.0,0.0
TAL1,0.38006162675884625,0.0,0.0
GATA3,0.2821245484969408,0.0,0.0
GATA4,0.863210359785755,0.0,0.0
FOXA3,0.5398768057060048,0.0,0.0
FOXA2,0.18004208289222057,0.0,0.0
RXRA,-0.3813361764900902,0.0,0.0
RUNX2,0.5836530381050622,0.0,0.0
GATA6,-0.33030863703026014,0.0,0.0
SNAI1,0.7635257567579958,0.0,0.0
SNAI2,-0.2120030339227359,0.0,0.0
SOX10,0.28562403692776983,0.0,0.0
