TF,diff_AS_vs_Control,pvalue,padj
ZEB2,1.4391331546025805,0.0,0.0
ZFP42,0.974675296580695,0.0,0.0
KLF13,0.9029650751743147,0.0,0.0
KDM5A,-1.2969723885633488,0.0,0.0
TCF21,1.1563004227311668,0.0,0.0
YAP1,-0.965670676726136,0.0,0.0
SNAI2,1.4444133574212155,0.0,0.0
KAT6A,-1.140916444572489,0.0,0.0
JDP2,1.5723605512188765,0.0,0.0
SCX,1.1111168490427779,0.0,0.0
FLI1,-1.0328998578800357,0.0,0.0
ETV7,-0.862543134084925,0.0,0.0
SKIL,1.081677600629023,0.0,0.0
MYOCD,1.3373503955605532,0.0,0.0
HOXB9,-1.5712766648566632,0.0,0.0
NFKBIB,-1.1712301793848456,0.0,0.0
HDGF,1.1983907092689774,0.0,0.0
NKRF,-1.3527280806706665,0.0,0.0
KLF8,-1.2268326839191515,0.0,0.0
PARK7,-1.3863131290777235,0.0,0.0
NFE2L2,-1.3581823755176377,0.0,0.0
GRHL2,-2.625285786582713,0.0,0.0
NFE2L3,1.1197283642500029,2.292760303390745e-309,7.576077524247681e-308
HHEX,0.8408938982532821,5.215189005738855e-307,1.6514765184839706e-305
HES6,-0.5905760053098723,1.0857014278144044e-296,3.3005323405557893e-295
RBPJ,-0.9367182590363232,1.86573619607014e-293,5.453690419281948e-292
TBPL1,-0.9431789563245434,3.094864722326069e-287,8.711471070251156e-286
ELF4,-0.9522206165215494,1.1697857447792054e-286,3.175132735829272e-285
MEIS2,-0.7121935203512192,6.83888590403397e-285,1.7922597541606263e-283
ZNF300,-1.0428180193686154,2.6663354735416054e-283,6.754716532972067e-282
MXI1,-1.0509394482068064,1.8924036710542983e-279,4.639441258068602e-278
APEX1,-0.8518600392557168,2.7532004571812424e-279,6.538851085805451e-278
FOXA3,0.39580561483542487,1.3966719828233924e-274,3.2165778998356916e-273
GATA1,-0.6665150622171412,5.569776223264461e-272,1.24500880284735e-270
NR2C2,-1.065945134763715,2.732490041857382e-271,5.9334069480331725e-270
NFKB1,-1.961132013900425,3.22041815691253e-268,6.798660553482007e-267
ZBTB7B,0.9194256416239006,7.2296181761169e-264,1.4850026523915796e-262
RUNX1,-0.9468128784425196,2.5878242486444182e-260,5.1756484972888364e-259
CUX1,0.8339723987278451,2.8232255697226217e-259,5.501670340997929e-258
EGR1,-1.3794882982851115,7.213418140388372e-258,1.3705494466737906e-256
HOXA11,0.6061618403316383,1.975553568794965e-257,3.662001737278471e-256
CTBP1,0.8694712011745764,2.4149351985275693e-257,4.369882740192745e-256
NFIX,0.6262684244100186,7.267578138204013e-256,1.2845021825662906e-254
PRDM4,-0.6818222887147435,7.867694526238205e-255,1.3589654181684173e-253
SMAD7,-0.7829530418361057,4.117756238431797e-254,6.954432758240368e-253
GTF3A,-0.9643925600788232,2.4842449019129824e-253,4.104404620551884e-252
MAFK,-0.7875416800083811,2.7929940089404466e-251,4.516330737861148e-250
TWIST1,0.880852451153707,2.4996479961869623e-247,3.9577759939626904e-246
NCOA1,-0.9749289752848491,2.4483808358374386e-243,3.7974886433397005e-242
ZFPM2,0.6359570945055761,7.926293419378326e-243,1.2047965997455056e-241
STAT3,-1.360307364129222,1.1775403467553602e-242,1.7547660069295564e-241
FOSL2,-0.7119125741169197,2.5886630988334677e-239,3.7834306829104526e-238
NFKB1_NFKB2,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
NFKB2_RELB,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
NFKB2_REL,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
NFKB2_RELA,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
NFKB1_REL,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
NFKB1_RELB,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
REL_RELB,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
REL_RELA,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
RELA_RELB,-1.757087195789274,5.226454361713188e-239,6.406621475648424e-238
