TF,diff_AS_vs_Control,pvalue,padj
REST,-0.977450589751784,1.955411554123495e-52,1.4861127811338563e-49
IRF9,1.5460177201373246,1.7564504568300547e-46,6.674511735954208e-44
NKRF,-2.3727641418207543,9.246715339773373e-45,2.3425012194092543e-42
ATOH7,0.22713137518076476,1.5439076435960508e-44,2.933424522832496e-42
HNF4G,0.37620424159019084,4.5242284467112405e-43,6.876827239001086e-41
HAND1,0.38119471601871946,3.805475251244141e-42,4.820268651575912e-40
PHOX2B,1.0076647522662154,6.095659676608485e-42,6.618144791746356e-40
MYOCD,0.8890294396731879,7.35340037927772e-42,6.985730360313835e-40
NKX3-1,-1.5592363465032937,3.380170436979478e-41,2.8543661467826703e-39
SHOX2,0.18025156577875973,1.1042375496768123e-40,8.392205377543775e-39
FOSL1,1.3994262653064165,5.1142994755941395e-40,3.533516001319587e-38
HNF1A,0.8800024506757215,9.17352042585662e-40,5.809896269709193e-38
ZNF300,-1.6589778896683924,3.035305633030185e-39,1.7744863700791851e-37
MYC,-3.4084412717708332,8.646414008033261e-38,4.6937676043609134e-36
PARK7,-1.9728717478879796,2.461976176848379e-37,1.2474012629365123e-35
NFE2L2,-1.6688205930686921,3.264876134383582e-36,1.5508161638322017e-34
ELF4,-1.4809816950986558,4.561998877688418e-35,2.039481851201881e-33
ZFPM2,0.942478189274535,1.2390933332217994e-34,5.2317274069364865e-33
HOPX,-1.4422710812032475,1.578133744509794e-34,6.312534978039175e-33
NFIL3,1.1755312542692307,5.818911724513166e-34,2.211186455315003e-32
LMO2,0.8518766539977689,7.504086402641873e-34,2.7157646028608686e-32
AR,-1.940488804505108,2.6631544085407627e-33,9.19998795677718e-32
MXI1,-1.6959664695813028,1.0336132602280368e-32,3.4154177294491648e-31
BACH1,-1.632284930235589,2.4170327442080182e-32,7.6539370233253905e-31
MAML1,2.1087916605866295,4.057232910445775e-32,1.2333988047755157e-30
LHX4,0.2993411447547468,2.776546671010839e-31,8.116059499877836e-30
GTF3A,-1.5097784623960835,5.867071725967113e-31,1.6514720413833356e-29
CTBP1,1.3653746284514299,6.535696665864325e-31,1.7739748093060313e-29
TP53,-2.2034012709005184,8.426362587172324e-31,2.2082881262934367e-29
TFAP4,-1.3666004439016413,9.319738062990848e-31,2.361000309291015e-29
HOXB9,-1.8736349574901578,1.748184123278818e-30,4.2858707538448445e-29
ZFP42,1.166498399291652,1.936004988669773e-30,4.598011848090711e-29
POU4F2,-1.1862017250696177,3.6954531648637666e-30,8.510740622110492e-29
LHX2,-1.316243831982815,4.239114435640956e-30,9.475667562020961e-29
NFYC,1.545039625906912,1.1291708815355534e-29,2.4519139141914874e-28
YY1,-0.9800620313396693,3.1543217359597237e-29,6.659123664803861e-28
KLF3,0.5763339355267534,4.0389446033571226e-29,8.29621053662544e-28
SPIB,0.9329626832184672,4.829519399039635e-29,9.65903879807927e-28
KAT5,-1.2713243047153826,1.438071998854679e-28,2.8023967157168104e-27
ATOH1,0.8121837822828858,2.1945611929092736e-28,4.16966626652762e-27
MEF2B,0.8772901544747682,3.0331804991832656e-28,5.622480925315322e-27
OTX2,0.6502306532036328,5.865948431042847e-28,1.0614573351410867e-26
GLIS3,0.27841732030854327,8.538071733164754e-28,1.509054538884933e-26
TBPL1,-1.2428515533932125,9.06135983540824e-28,1.5651439715705143e-26
GRHL2,-1.9853506893124613,1.551071088628434e-27,2.6195867274613555e-26
MESP2,0.10846292095107121,8.539056646739531e-27,1.4108006633743572e-25
NFX1,-1.3895754910561053,1.2872156703604999e-26,2.081455126540383e-25
TRIM28,1.1375261466025575,1.7059269208962664e-26,2.701050958085755e-25
MITF,0.8944144871484362,3.050708190751667e-26,4.731710663206667e-25
ATF4,-1.5898555144899937,1.161461900988332e-25,1.7654220895022647e-24
NFKBIB,-1.6190816934154293,3.484780433625875e-25,5.193006136383657e-24
NKX6-1,0.25296574725098053,7.832519544074849e-25,1.1447528564417087e-23
SETBP1,0.3503717850370892,1.8516234748082045e-24,2.6551581902910105e-23
DLX5,0.710459299741937,2.5108787722682544e-24,3.533829383192358e-23
NCOA6,1.1345170182205817,9.429721625500533e-24,1.3030160791600735e-22
NFE2L3,1.3860349246653922,1.0222769070023745e-23,1.3630358760031661e-22
YAP1,-1.0144333733463577,1.022276906418313e-23,1.3630358760031661e-22
HES6,-0.5242996351496979,1.495636419431653e-23,1.9597994461518212e-22
TBX1,0.5048210878006029,1.8327120501234927e-23,2.360781623887889e-22
NFKB1,-2.031388846025779,1.9359845999458565e-23,2.4522471599314183e-22
PPARD,-1.056699530423702,2.036107018020666e-23,2.536789071632305e-22
