source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Basalis_fibroblast,Basalis_fibroblast,TIMP1,CD63,2.7659628,0.0,7.625448,1.4590502495671491,1.8038179210569778,0.02311659,0.9501965,0.0011342045568464637,6.98348497698315e-08
Basalis_fibroblast,Macrophages,VIM,CD44,2.8026335,0.0,7.0216837,0.9577839253259954,1.3153019521675253,0.014475106,0.9482081,0.06293647548778125,1.368731061867488e-07
Basalis_fibroblast,NKT_cells,LGALS1,PTPRC,2.7142928,0.0,7.120601,1.4429152119874693,1.8160648667604977,0.038283072,0.9485505,0.0013509459411926324,2.262543031415841e-07
SOX9+LGR5+_stem,Macrophages,VIM,CD44,2.722571,0.0,6.719062,0.8972037056916562,1.2235764070566957,0.013851256,0.9471156,0.07556792805553825,2.262543031415841e-07
Basalis_fibroblast,Macrophages,LGALS1,PTPRC,2.6082578,0.0,6.4396296,1.3342691898951884,1.6920120103604122,0.03462191,0.94604164,0.003360260967262455,1.11716072824597e-06
Basalis_fibroblast,Smooth_muscle,LGALS1,ITGB1,2.5499637,0.0,6.065258,1.0343829335318422,1.329972741639185,0.0169344,0.9444924,0.037785612346660426,2.035858053203399e-06
Basalis_fibroblast,NKT_cells,LGALS1,CD69,2.5122957,0.0,5.82335,1.4852811940181812,2.0394809891360985,0.04752686,0.94341576,0.0009050768583514124,3.228063956244584e-06
Smooth_muscle,Basalis_fibroblast,LGALS1,ITGB1,2.4774034,0.0,5.362648,0.9291709800352573,1.2968272927608915,0.01497269,0.9411753,0.07556792805553825,4.925406049910381e-06
Basalis_fibroblast,Smooth_muscle,LUM,ITGB1,2.4573722,0.0,5.715473,1.8146292876825982,2.450510829246953,0.047825553,0.9429146,6.0213364135408886e-05,5.907975315559908e-06
Decidualized_stromal,Basalis_fibroblast,LGALS1,ITGB1,2.4218645,0.0,5.1852427,0.8885374281037463,1.1314289101577886,0.014477369,0.9402371,0.07556792805553825,7.549167902359972e-06
Basalis_fibroblast,Smooth_muscle,TIMP1,CD63,2.421259,0.0,5.8278,1.0970201395702484,1.3606786895863532,0.017667009,0.94343615,0.024221171370310206,7.842220556080158e-06
Basalis_fibroblast,B_cells,VIM,CD44,2.4967368,0.0,4.748649,0.6282266901273531,0.7462596913437671,0.009789277,0.93771756,0.203989331032776,8.140848909863008e-06
Basalis_fibroblast,Lymphoid_immune,VIM,CD44,2.489261,0.0,4.6930985,0.6201719351695885,0.6588663640479329,0.00967476,0.93737304,0.210509497440515,9.070195110212933e-06
Pericyte,Basalis_fibroblast,LGALS1,ITGB1,2.4117527,0.0,5.1529427,0.8811415628639487,0.9549763906087136,0.014387185,0.9400613,0.07556792805553825,9.717636938138781e-06
Basalis_fibroblast,Lymphatic_endothelium,LGALS1,ITGB1,2.4060884,0.0,5.141271,0.8777084695763198,1.0444784045477928,0.014354599,0.9399974,0.07556792805553825,1.0730618701397056e-05
Basalis_fibroblast,Basalis_fibroblast,LGALS1,ITGB1,2.4040985,0.0,5.1284933,0.8755414685497757,0.9669089335825343,0.0143189235,0.93992716,0.07556792805553825,1.1079429399817319e-05
Basalis_fibroblast,NKT_cells,VIM,CD44,2.4783058,0.0,4.611695,0.6083705620207628,0.8292502126975154,0.009506947,0.93685746,0.2220766836147357,1.1079429399817319e-05
Basalis_fibroblast,SOX9+LGR5+_stem,TIMP1,CD63,2.3829749,0.0,5.6281457,1.0568111036720482,1.160451043670778,0.017061757,0.9424988,0.032898951853675105,1.3289350883015986e-05
SOX9+LGR5+_stem,B_cells,VIM,CD44,2.416674,0.0,4.543991,0.567646470493014,0.6545341462329375,0.009367377,0.9364186,0.23167508609703316,1.407058339426271e-05
Smooth_muscle,SOX9+LGR5+_stem,LGALS1,ITGB1,2.3734112,0.0,4.6643033,0.815927405831754,1.0671969557975527,0.013022888,0.93719214,0.08194873222630966,1.407058339426271e-05
Basalis_fibroblast,Decidualized_stromal,TIMP1,CD63,2.3517206,0.0,5.465153,1.0239860170093196,1.1858783745126893,0.016567642,0.94169724,0.04046272780931743,1.6121188589897713e-05
SOX9+LGR5+_stem,Lymphoid_immune,VIM,CD44,2.409198,0.0,4.490834,0.5595917155352493,0.5671408189371032,0.009257794,0.9360674,0.23962974313753674,1.6548027443867892e-05
