gene,drug,approved,concept_id,interaction_types,directionality,n_publications,score
ELF3,COMPOUND 33 [PMID: 19364658],False,iuphar.ligand:8163,inhibitor,INHIBITORY,0,23.19458956786487
ELF3,VORUCICLIB,False,ncit:C141430,inhibitor,INHIBITORY,0,23.19458956786487
CXCL8,VITAMIN A,True,rxcui:11246,,,0,23.0
CXCL8,FENTANYL CITRATE,True,rxcui:142436,,,1,23.0
CXCL8,ALPRAZOLAM,True,rxcui:596,,,1,23.0
CXCL8,FENRETINIDE,True,ncit:C1098,,,1,23.0
CXCL8,RIBAVIRIN,True,rxcui:9344,,,0,23.0
CXCL8,CIDOFOVIR ANHYDROUS,True,rxcui:1546007,,,1,23.0
CXCL8,DIPYRIDAMOLE,True,rxcui:3521,,,1,23.0
CXCL8,TROGLITAZONE,True,rxcui:72610,,,1,23.0
CXCL8,LANSOPRAZOLE,True,rxcui:17128,,,1,23.0
CXCL8,CEFTRIAXONE,True,rxcui:2193,,,1,23.0
CXCL8,FOSCARNET,True,rxcui:33562,,,1,23.0
CXCL8,DANAZOL,True,rxcui:3102,,,1,23.0
CXCL8,BEVACIZUMAB,True,rxcui:253337,,,2,23.0
CXCL8,TRETINOIN,True,rxcui:10753,,,1,23.0
CXCL8,METHIMAZOLE,True,rxcui:6835,,,1,23.0
CXCL8,PAZOPANIB,True,rxcui:714438,,,2,23.0
CXCL8,OMEPRAZOLE,True,rxcui:7646,,,1,23.0
CXCL8,ALPHA-TOCOPHEROL ACETATE,True,rxcui:1046243,,,1,23.0
CXCL8,MEDROXYPROGESTERONE ACETATE,True,rxcui:1000112,,,1,23.0
CXCL8,ASPIRIN,True,rxcui:1191,,,1,23.0
CXCL8,PENTOXIFYLLINE,True,rxcui:8013,,,1,23.0
CXCL8,PYROGALLOL,True,rxcui:9022,,,0,23.0
CXCL8,FLUOROURACIL,True,rxcui:4492,,,1,23.0
CXCL8,LEFLUNOMIDE,True,rxcui:27169,,,1,23.0
CXCL8,"IBUPROFEN, SODIUM SALT",True,rxcui:1429044,,,0,23.0
CXCL8,NAPROXEN SODIUM,True,rxcui:142442,,,1,23.0
CXCL8,PAMIDRONATE,True,rxcui:11473,,,1,23.0
CXCL8,METHYLENE BLUE ANHYDROUS,True,rxcui:2198975,,,1,23.0
CXCL8,COLCHICINE,True,rxcui:2683,,,0,23.0
CXCL8,DACARBAZINE,True,rxcui:3098,,,0,23.0
CXCL8,SUNITINIB,True,rxcui:357977,,,2,23.0
CXCL8,CLARITHROMYCIN,True,rxcui:21212,,,1,23.0
CXCL8,ACETAMINOPHEN,True,rxcui:161,,,1,23.0
CXCL8,PACLITAXEL,True,rxcui:56946,,,1,23.0
CXCL8,ALUMINUM HYDROXIDE,True,rxcui:612,,,1,23.0
CXCL8,TERFENADINE,True,rxcui:42330,,,1,23.0
CXCL8,VERAPAMIL,True,rxcui:11170,,,1,23.0
CXCL8,TALC,True,rxcui:10323,,,1,23.0
CXCL8,MIDAZOLAM HYDROCHLORIDE,True,rxcui:203128,,,1,23.0
CXCL8,CYCLOPHOSPHAMIDE ANHYDROUS,True,rxcui:1545988,,,1,23.0
CXCL8,RANIBIZUMAB,True,rxcui:595060,,,1,23.0
CXCL8,CETUXIMAB,True,rxcui:318341,,,1,23.0
CXCL8,HYDROQUINONE,True,rxcui:5509,,,1,23.0
CXCL8,RECOMBINANT INTERLEUKIN-1,False,ncit:C586,,,1,23.0
CXCL8,IONOMYCIN,False,ncit:C596,,,1,23.0
CXCL8,E319,False,chembl:CHEMBL242080,,,0,23.0
CXCL8,CHLORDANE,False,iuphar.ligand:2831,,,0,23.0
CXCL8,ADAKITUG,False,ncit:C124227,inhibitor,INHIBITORY,0,23.0
CXCL8,D-ALPHA-TOCOPHEROL ACETATE,False,ncit:C74962,,,1,23.0
CXCL8,DICYCLOHEXYLCARBODIIMIDE,False,chembl:CHEMBL162598,,,0,23.0
CXCL8,RO 31-8220,False,ncit:C1310,,,1,23.0
CXCL8,BROXURIDINE,False,ncit:C318,,,0,23.0
CXCL8,ALL-TRANS-RETINAL,False,iuphar.ligand:2350,,,0,23.0
CXCL8,DEOXYSPERGUALIN,False,drugbank:DB12991,,,1,23.0
CXCL8,TETRADECANOYLPHORBOL ACETATE,False,ncit:C866,,,1,23.0
CXCL8,KLEBSIELLA PNEUMONIAE GLYCOPROTEIN,False,ncit:C1018,,,1,23.0
CXCL8,ABX-IL8,False,chembl:CHEMBL2109616,inhibitor,INHIBITORY,0,23.0
CXCL8,BIOFLAVONOID,False,ncit:C306,,,1,23.0
CXCL8,QUESTIOMYCIN B,False,chembl:CHEMBL28319,,,0,23.0
CXCL8,BINETRAKIN,False,rxcui:1426682,,,1,23.0
CXCL8,MANNOSE-BINDING LECTIN,False,ncit:C1151,,,1,23.0
CXCL8,DINITRO CRESOL,False,chembl:CHEMBL419564,,,0,23.0
CXCL8,HISTONE DEACETYLASE INHIBITOR,False,ncit:C1946,,,1,23.0
CXCL8,ALDRIN,False,chembl:CHEMBL195953,,,0,23.0
CXCL8,13-CIS-RETINAL,False,iuphar.ligand:6671,,,0,23.0
CXCL8,MDX-018,False,drugbank:DB05484,,,0,23.0
CXCL8,RECOMBINANT INTERFERON ALFA,False,ncit:C225,,,2,23.0
CXCL8,HARMINE HYDROCHLORIDE,False,chembl:CHEMBL1593867,,,0,23.0
CXCL8,CANERTINIB DIHYDROCHLORIDE,False,ncit:C1880,,,1,23.0
CXCL8,DICHLORVOS,False,drugbank:DB11397,,,0,23.0
CXCL8,GP-120 ANTIGEN,False,ncit:C29554,,,1,23.0
CXCL8,YANGONIN,False,chembl:CHEMBL1098658,,,0,23.0
CXCL8,ACE INHIBITOR,False,ncit:C247,,,1,23.0
CXCL8,CHEMBL:CHEMBL1902074,False,chembl:CHEMBL1902074,,,0,23.0
CXCL8,ANTIDEPRESSANT AGENT,False,ncit:C265,,,1,23.0
CXCL8,RECOMBINANT LYMPHOTOXIN BETA,False,ncit:C1608,,,1,23.0
CXCL8,RECOMBINANT CYTOKINE,False,ncit:C1283,,,1,23.0
CXCL8,ENDOSULFAN,False,chembl:CHEMBL194399,,,0,23.0
CXCL8,PROTECTIVE AGENT,False,ncit:C26170,,,1,23.0
CXCL8,CORONOPILIN,False,chembl:CHEMBL248564,,,0,23.0
CXCL8,HEPTACHLOR,False,chembl:CHEMBL194400,,,0,23.0
CXCL8,EMODIN,False,ncit:C466,,,0,23.0
MT1H,STREPTOZOCIN,True,rxcui:10114,,,1,22.0
MT1H,SELENIUM,True,rxcui:9641,,,1,22.0
MT1H,CISPLATIN,True,rxcui:2555,,,1,22.0
PAEP,DOCOSANOL,True,rxcui:594680,inhibitor,INHIBITORY,0,22.0
PAEP,CYPROTERONE ACETATE,True,rxcui:22054,,,1,22.0
PAEP,GENISTEIN,True,rxcui:25696,,,1,22.0
GPX3,DOXORUBICIN HYDROCHLORIDE,True,rxcui:142433,,,1,22.0
GPX3,DAUNORUBICIN LIPOSOMAL,True,rxcui:214468,,,1,22.0
MT1H,6-AMINONICOTINAMIDE,False,ncit:C38127,,,1,22.0
