gene,score,evidence,n_evidence_types
IER3,24.854926367585946,DEG_in_8ct(maxLFC=2.85); stem_DEG_CD133plus_progenitor; stem_DEG_Basalis_fibroblast,3
ELF3,23.19458956786487,DEG_in_5ct(maxLFC=3.19); TF_diff_5ct,2
CXCL8,23,DEG_in_6ct(maxLFC=7.09); stem_DEG_CD133plus_progenitor; comm_ligand,3
PAEP,22,DEG_in_7ct(maxLFC=11.25); stem_DEG_CD133plus_progenitor,2
MT1H,22,DEG_in_7ct(maxLFC=10.40); stem_DEG_CD133plus_progenitor,2
MT1G,22,DEG_in_7ct(maxLFC=6.70); stem_DEG_CD133plus_progenitor,2
GPX3,22,DEG_in_7ct(maxLFC=10.33); stem_DEG_CD133plus_progenitor,2
NNMT,21,DEG_in_5ct(maxLFC=5.05); stem_DEG_CD133plus_progenitor; stem_DEG_Basalis_fibroblast,3
MET,21,DEG_in_4ct(maxLFC=5.93); stem_DEG_CD133plus_progenitor; comm_receptor; known_stem_gene,4
CKS2,20.967648098612543,DEG_in_7ct(maxLFC=3.97); stem_DEG_CD133plus_progenitor,2
CLDN4,20.961929286811305,DEG_in_7ct(maxLFC=3.96); stem_DEG_CD133plus_progenitor,2
RIMKLB,20.87200839055702,DEG_in_7ct(maxLFC=3.87); stem_DEG_CD133plus_progenitor,2
PGR,20.408913924217597,DEG_in_4ct(maxLFC=2.41); TF_diff_5ct,2
ETS2,20.04804085607536,DEG_in_2ct(maxLFC=3.05); stem_DEG_CD133plus_progenitor; TF_diff_5ct,3
CXCL2,20,DEG_in_6ct(maxLFC=5.51); stem_DEG_CD133plus_progenitor,2
SLC1A1,20,DEG_in_6ct(maxLFC=6.94); stem_DEG_CD133plus_progenitor,2
LAMB3,20,DEG_in_6ct(maxLFC=5.56); stem_DEG_CD133plus_progenitor,2
SFN,20,DEG_in_6ct(maxLFC=5.24); stem_DEG_CD133plus_progenitor,2
CDH1,19.62716042679046,DEG_in_6ct(maxLFC=4.63); stem_DEG_CD133plus_progenitor,2
IRF9,19.418842745224786,DEG_in_4ct(maxLFC=1.42); TF_diff_5ct,2
XBP1,19.01183016270534,DEG_in_2ct(maxLFC=2.01); stem_DEG_CD133plus_progenitor; TF_diff_5ct,3
B4GALNT3,18.76378625774969,DEG_in_6ct(maxLFC=3.76); stem_DEG_CD133plus_progenitor,2
PEG3,18.616025580228936,DEG_in_5ct(maxLFC=2.62); TF_diff_3ct,2
SFRP4,18.447884056265394,DEG_in_7ct(maxLFC=4.45),1
ADM,18.245403138721237,DEG_in_4ct(maxLFC=4.25); stem_DEG_CD133plus_progenitor; comm_ligand,3
HOXA11,18.10845963702094,DEG_in_3ct(maxLFC=2.11); TF_diff_5ct,2
DKK3,18,DEG_in_5ct(maxLFC=5.43); comm_ligand,2
DEFB1,18,DEG_in_5ct(maxLFC=6.96); stem_DEG_CD133plus_progenitor,2
PAX2,17.992085851717007,DEG_in_1ct(maxLFC=2.99); stem_DEG_CD133plus_progenitor; TF_diff_5ct,3
